股票代码,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(千元),日内波动幅度,日收益率(%)
601869.SH,2025-07-04,39.27,39.47,38.03,38.15,39.39,-1.24,-3.148,79203.55,304050.34,1.4399999999999977,
601869.SH,2025-07-07,37.5,38.3,37.31,37.59,38.15,-0.56,-1.4679,42129.0,158415.841,0.9899999999999949,-1.4678899082568697
601869.SH,2025-07-08,37.59,39.8,37.4,39.36,37.59,1.77,4.7087,77216.0,299887.581,2.3999999999999986,4.708699122106941
601869.SH,2025-07-09,39.3,39.3,38.52,38.66,39.36,-0.7,-1.7785,40441.25,157271.758,0.779999999999994,-1.778455284552849
601869.SH,2025-07-10,38.66,40.0,38.44,39.04,38.66,0.38,0.9829,72866.19,285937.235,1.5600000000000023,0.9829280910501836
601869.SH,2025-07-11,39.0,39.72,38.6,38.61,39.04,-0.43,-1.1014,51530.03,200781.838,1.1199999999999974,-1.1014344262295084
601869.SH,2025-07-14,38.5,40.06,38.37,39.35,38.61,0.74,1.9166,66815.11,264031.582,1.6900000000000048,1.9166019166019233
601869.SH,2025-07-15,39.25,40.17,38.94,39.41,39.35,0.06,0.1525,72611.0,287810.777,1.230000000000004,0.1524777636594532
601869.SH,2025-07-16,39.55,40.89,39.21,39.4,39.41,-0.01,-0.0254,93531.0,374019.641,1.6799999999999997,-0.02537427048971974
601869.SH,2025-07-17,38.52,43.34,38.52,43.34,39.4,3.94,10.0,120242.61,498531.825,4.82,10.000000000000009
601869.SH,2025-07-18,43.4,44.77,42.38,42.47,43.34,-0.87,-2.0074,174933.66,759286.859,2.3900000000000006,-2.0073834794647083
601869.SH,2025-07-21,41.88,43.41,41.8,41.96,42.47,-0.51,-1.2008,126142.1,535213.442,1.6099999999999994,-1.2008476571697568
601869.SH,2025-07-22,41.81,43.66,41.36,41.43,41.96,-0.53,-1.2631,108499.01,457078.719,2.299999999999997,-1.2631077216396558
601869.SH,2025-07-23,41.05,42.22,40.42,41.33,41.43,-0.1,-0.2414,99772.0,412530.949,1.7999999999999972,-0.2413709872073455
601869.SH,2025-07-24,41.68,41.85,40.42,40.6,41.33,-0.73,-1.7663,88394.1,361423.888,1.4299999999999997,-1.7662714735059204
601869.SH,2025-07-25,40.21,40.98,40.01,40.31,40.6,-0.29,-0.7143,81180.0,328437.097,0.9699999999999989,-0.7142857142857117
601869.SH,2025-07-28,40.85,41.11,40.12,40.4,40.31,0.09,0.2233,89945.96,364402.019,0.990000000000002,0.22326966013395122
601869.SH,2025-07-29,40.5,44.32,40.22,44.2,40.4,3.8,9.4059,200906.21,850183.684,4.100000000000001,9.405940594059414
601869.SH,2025-07-30,43.29,48.62,43.09,48.62,44.2,4.42,10.0,248256.33,1149942.311,5.529999999999994,9.999999999999986
601869.SH,2025-07-31,48.88,53.48,48.88,50.85,48.62,2.23,4.5866,303286.21,1586340.213,4.599999999999994,4.586589880707526
601869.SH,2025-08-01,50.34,52.62,49.01,50.73,50.85,-0.12,-0.236,196666.37,1002556.871,3.6099999999999994,-0.23598820058997605
601869.SH,2025-08-04,49.91,53.0,49.54,51.82,50.73,1.09,2.1486,162969.08,841374.304,3.460000000000001,2.14863000197123
601869.SH,2025-08-05,53.3,57.0,51.18,57.0,51.82,5.18,9.9961,259518.27,1403521.248,5.82,9.996140486298732
601869.SH,2025-08-06,54.49,56.33,52.82,53.08,57.0,-3.92,-6.8772,218185.89,1180213.707,3.509999999999998,-6.877192982456148
601869.SH,2025-08-07,52.39,55.97,50.46,53.8,53.08,0.72,1.3564,234361.47,1228668.655,5.509999999999998,1.35644310474754
601869.SH,2025-08-08,53.27,56.88,52.61,55.72,53.8,1.92,3.5688,199994.24,1105627.448,4.270000000000003,3.5687732342007505
601869.SH,2025-08-11,55.0,57.75,54.14,54.9,55.72,-0.82,-1.4716,162802.0,903926.484,3.6099999999999994,-1.471643933955491
601869.SH,2025-08-12,54.5,57.03,53.72,55.95,54.9,1.05,1.9126,147758.84,819441.634,3.3100000000000023,1.9125683060109422
601869.SH,2025-08-13,56.09,58.45,55.0,57.23,55.95,1.28,2.2878,205175.12,1162998.246,3.450000000000003,2.2877569258266117
601869.SH,2025-08-14,57.6,57.68,52.73,52.75,57.23,-4.48,-7.8281,190554.5,1035722.054,4.950000000000003,-7.828062205137165
601869.SH,2025-08-15,53.0,53.78,52.48,53.24,52.75,0.49,0.9289,119683.26,635673.727,1.3000000000000043,0.928909952606638
601869.SH,2025-08-18,53.16,56.81,52.5,55.37,53.24,2.13,4.0008,174643.42,962421.457,4.310000000000002,4.000751314800888
601869.SH,2025-08-19,55.5,60.91,55.18,59.23,55.37,3.86,6.9713,229914.41,1346087.827,5.729999999999997,6.971284088856788
601869.SH,2025-08-20,57.95,62.0,56.2,61.58,59.23,2.35,3.9676,204781.17,1202844.543,5.799999999999997,3.9675839945973346
601869.SH,2025-08-21,60.02,60.93,55.77,56.39,61.58,-5.19,-8.4281,200349.91,1154787.805,5.159999999999997,-8.42806105878532
601869.SH,2025-08-22,55.24,60.54,55.2,58.98,56.39,2.59,4.593,183206.12,1071944.703,5.339999999999996,4.593012945557717
601869.SH,2025-08-25,64.88,64.88,64.88,64.88,58.98,5.9,10.0034,43115.05,279730.444,0.0,10.00339097999321
601869.SH,2025-08-26,71.07,71.07,69.06,71.07,64.61,6.46,9.9985,192513.72,1362113.391,2.009999999999991,9.54069050554871
601869.SH,2025-08-27,72.0,78.18,69.95,75.41,71.07,4.34,6.1067,348250.8,2595278.383,8.230000000000004,6.106655410159001
601869.SH,2025-08-28,75.41,82.95,75.4,82.95,75.41,7.54,9.9987,60186.21,483633.001,7.549999999999997,9.998673915926283
601869.SH,2025-08-29,91.25,91.25,88.01,91.25,82.95,8.3,10.006,188482.68,1716225.605,3.239999999999995,10.006027727546707
601869.SH,2025-09-01,92.5,95.8,88.13,91.98,91.25,0.73,0.8,357229.78,3272648.644,7.670000000000002,0.8000000000000007
601869.SH,2025-09-02,90.15,95.0,82.78,82.78,91.98,-9.2,-10.0022,278895.42,2446423.57,12.219999999999999,-10.00217438573603
601869.SH,2025-09-03,83.2,91.06,81.12,91.06,82.78,8.28,10.0024,216966.3,1922364.193,9.939999999999998,10.002416042522345
601869.SH,2025-09-04,97.0,97.0,81.95,86.0,91.06,-5.06,-5.5568,315436.8,2707713.029,15.049999999999997,-5.556775752251264
601869.SH,2025-09-05,84.0,91.3,84.0,89.85,86.0,3.85,4.4767,320022.76,2832967.106,7.299999999999997,4.476744186046511
601869.SH,2025-09-08,83.66,86.0,80.87,83.97,89.85,-5.88,-6.5442,251226.21,2067807.892,5.1299999999999955,-6.544240400667778
601869.SH,2025-09-09,84.0,90.58,80.0,88.71,83.97,4.74,5.6449,244516.87,2135575.838,10.579999999999998,5.6448731689889176
601869.SH,2025-09-10,91.81,93.0,83.5,87.61,88.71,-1.1,-1.24,240219.91,2097355.211,9.5,-1.239995490925483
601869.SH,2025-09-11,88.5,95.36,85.39,93.25,87.61,5.64,6.4376,285174.88,2616303.994,9.969999999999999,6.437621276110028
601869.SH,2025-09-12,89.96,92.88,88.01,89.3,93.25,-3.95,-4.2359,232877.48,2093258.839,4.86999999999999,-4.235924932975877
601869.SH,2025-09-15,88.0,91.68,86.11,86.95,89.3,-2.35,-2.6316,173603.2,1529324.445,5.570000000000007,-2.631578947368418
601869.SH,2025-09-16,88.0,95.65,85.85,95.65,86.95,8.7,10.0058,200047.36,1832388.481,9.800000000000011,10.005750431282356
601869.SH,2025-09-17,96.98,104.74,93.4,99.68,95.65,4.03,4.2133,301235.64,2965063.493,11.33999999999999,4.213277574490326
601869.SH,2025-09-18,99.68,109.65,96.0,109.65,99.68,9.97,10.002,262449.54,2703307.58,13.650000000000006,10.00200642054574
601869.SH,2025-09-19,115.1,120.62,111.91,120.62,109.65,10.97,10.0046,247471.92,2931302.737,8.710000000000008,10.004559963520299
601869.SH,2025-09-22,120.54,120.54,108.56,115.28,120.62,-5.34,-4.4271,319020.87,3588212.98,11.980000000000004,-4.427126513016089
601869.SH,2025-09-23,115.3,120.0,110.01,117.27,115.28,1.99,1.7262,238427.62,2753957.717,9.989999999999995,1.7262317834836782
601869.SH,2025-09-24,112.3,113.59,105.6,110.3,117.27,-6.97,-5.9435,186723.58,2052214.311,7.990000000000009,-5.943549074784682
601869.SH,2025-09-25,107.35,112.95,105.04,108.08,110.3,-2.22,-2.0127,150415.75,1636417.382,7.909999999999997,-2.012692656391657
601869.SH,2025-09-26,106.45,110.8,103.0,103.0,108.08,-5.08,-4.7002,134058.58,1425609.453,7.799999999999997,-4.700222057735015
601869.SH,2025-09-29,102.65,108.0,102.0,105.55,103.0,2.55,2.4757,112897.51,1185497.404,6.0,2.475728155339807
601869.SH,2025-09-30,105.54,106.2,99.72,100.84,105.55,-4.71,-4.4623,139120.76,1417285.919,6.480000000000004,-4.462340123164377
601869.SH,2025-10-09,100.92,102.65,97.7,97.98,100.84,-2.86,-2.8362,118689.55,1178782.829,4.950000000000003,-2.836176120587064
601869.SH,2025-10-10,98.24,98.55,90.64,91.23,97.98,-6.75,-6.8892,156011.53,1463550.493,7.909999999999997,-6.889161053276183
601869.SH,2025-10-13,86.15,89.87,86.15,88.6,91.23,-2.63,-2.8828,96391.51,849604.939,3.719999999999999,-2.882823632577014
601869.SH,2025-10-14,89.51,91.99,84.95,85.18,88.6,-3.42,-3.86,111262.92,985274.216,7.039999999999992,-3.8600451467268537
601869.SH,2025-10-15,86.06,86.68,83.0,86.01,85.18,0.83,0.9744,107645.97,913274.707,3.680000000000007,0.9744071378257724
601869.SH,2025-10-16,85.78,87.88,85.1,85.66,86.01,-0.35,-0.4069,77901.15,673059.97,2.780000000000001,-0.40692942681084254
601869.SH,2025-10-17,90.0,90.0,82.23,82.6,85.66,-3.06,-3.5723,144263.59,1214712.054,7.769999999999996,-3.5722624328741515
601869.SH,2025-10-20,84.25,85.94,81.24,82.33,82.6,-0.27,-0.3269,128289.6,1072822.459,4.700000000000003,-0.3268765133171869
601869.SH,2025-10-21,82.49,90.56,81.54,87.98,82.33,5.65,6.8626,256899.04,2228778.391,9.019999999999996,6.862626017247675
601869.SH,2025-10-22,86.74,93.25,85.48,91.59,87.98,3.61,4.1032,224684.53,1995135.382,7.769999999999996,4.103205273925892
601869.SH,2025-10-23,89.93,89.93,83.38,85.48,91.59,-6.11,-6.671,172656.12,1478904.258,6.550000000000011,-6.671033955672012
601869.SH,2025-10-24,86.7,92.19,84.75,89.89,85.48,4.41,5.1591,194297.23,1730169.478,7.439999999999998,5.1591015442208565
601869.SH,2025-10-27,91.5,95.0,90.64,93.38,89.89,3.49,3.8825,204852.16,1908645.178,4.359999999999999,3.8825230837690405
601869.SH,2025-10-28,94.19,95.29,90.78,91.27,93.38,-2.11,-2.2596,149252.1,1384143.843,4.510000000000005,-2.259584493467548
601869.SH,2025-10-29,91.27,92.33,87.82,91.0,91.27,-0.27,-0.2958,136846.97,1229731.521,4.510000000000005,-0.2958255724772596
601869.SH,2025-10-30,90.01,91.83,87.4,88.5,91.0,-2.5,-2.7473,101712.63,909216.593,4.429999999999993,-2.7472527472527486
601869.SH,2025-10-31,87.0,87.39,83.8,84.89,88.5,-3.61,-4.0791,110620.17,942026.955,3.5900000000000034,-4.079096045197739
601869.SH,2025-11-03,84.01,85.68,82.9,85.06,84.89,0.17,0.2003,75422.01,636274.761,2.780000000000001,0.200259158911531
601869.SH,2025-11-04,85.58,85.58,82.0,82.58,85.06,-2.48,-2.9156,58005.56,482205.843,3.5799999999999983,-2.915588996002827
601869.SH,2025-11-05,81.0,84.0,80.27,80.75,82.58,-1.83,-2.216,93347.14,758936.57,3.730000000000004,-2.2160329377573285
601869.SH,2025-11-06,80.75,83.99,80.75,83.2,80.75,2.45,3.0341,93470.95,772057.673,3.239999999999995,3.0340557275541746
601869.SH,2025-11-07,82.0,82.79,80.2,81.73,83.2,-1.47,-1.7668,69760.53,568249.317,2.5900000000000034,-1.7668269230769251
601869.SH,2025-11-10,80.79,82.0,78.03,79.95,81.73,-1.78,-2.1779,87226.18,692371.589,3.969999999999999,-2.177902850850366
601869.SH,2025-11-11,81.21,81.77,78.71,79.39,79.95,-0.56,-0.7004,75635.96,606934.715,3.0600000000000023,-0.7004377736085088
601869.SH,2025-11-12,79.4,79.78,76.76,78.25,79.39,-1.14,-1.4359,62425.23,485990.374,3.019999999999996,-1.4359491119788403
601869.SH,2025-11-13,78.2,79.06,77.38,78.35,78.25,0.1,0.1278,55028.66,430152.505,1.6800000000000068,0.12779552715653786
601869.SH,2025-11-14,77.22,82.62,76.18,79.44,78.35,1.09,1.3912,150415.88,1199514.764,6.439999999999998,1.3911933631142404
601869.SH,2025-11-17,78.44,83.0,78.4,81.1,79.44,1.66,2.0896,127589.49,1029005.626,4.599999999999994,2.089627391742188
601869.SH,2025-11-18,80.31,83.46,78.62,81.2,81.1,0.1,0.1233,148378.71,1202668.366,4.839999999999989,0.12330456226881115
601869.SH,2025-11-19,81.44,86.5,80.18,83.68,81.2,2.48,3.0542,207696.68,1733886.202,6.319999999999993,3.0541871921182295
601869.SH,2025-11-20,86.0,86.58,78.0,78.41,83.68,-5.27,-6.2978,166592.22,1339632.38,8.579999999999998,-6.297801147227544
601869.SH,2025-11-21,74.0,74.94,72.28,72.84,78.41,-5.57,-7.1037,108488.15,797925.562,2.6599999999999966,-7.103685754368061
601869.SH,2025-11-24,74.2,75.42,72.7,73.64,72.84,0.8,1.0983,83485.72,615453.25,2.719999999999999,1.098297638660073
601869.SH,2025-11-25,74.96,81.0,74.61,81.0,73.64,7.36,9.9946,94533.8,743367.604,6.390000000000001,9.994568169473105
601869.SH,2025-11-26,83.0,89.1,82.33,85.64,81.0,4.64,5.7284,304203.11,2596842.901,6.769999999999996,5.728395061728397
601869.SH,2025-11-27,85.47,93.48,84.76,87.3,85.64,1.66,1.9383,278525.28,2451651.587,8.719999999999999,1.9383465670247402
601869.SH,2025-11-28,85.0,90.96,84.5,87.08,87.3,-0.22,-0.252,199664.46,1733446.165,6.459999999999994,-0.2520045819014882
601869.SH,2025-12-01,87.12,87.48,85.08,85.57,87.08,-1.51,-1.734,124769.16,1070471.947,2.4000000000000057,-1.7340376665135548
601869.SH,2025-12-02,84.0,84.6,82.44,83.11,85.57,-2.46,-2.8748,108246.88,902738.108,2.1599999999999966,-2.8748393128432803
601869.SH,2025-12-03,83.57,85.4,82.67,83.02,83.11,-0.09,-0.1083,103528.01,869222.653,2.730000000000004,-0.10829021778366865
601869.SH,2025-12-04,81.56,83.68,80.6,82.64,83.02,-0.38,-0.4577,91786.74,755032.377,3.0800000000000125,-0.4577210310768409
601869.SH,2025-12-05,82.4,84.93,80.78,83.63,82.64,0.99,1.198,114774.52,956932.715,4.150000000000006,1.197967086156826
601869.SH,2025-12-08,83.65,91.5,83.64,88.31,83.63,4.68,5.5961,225761.05,1992249.252,7.859999999999999,5.596077962453672
601869.SH,2025-12-09,88.38,91.03,87.81,89.48,88.31,1.17,1.3249,195750.65,1752723.268,3.219999999999999,1.324878269731622
601869.SH,2025-12-10,88.93,98.43,87.57,98.43,89.48,8.95,10.0022,309788.71,2898314.319,10.860000000000014,10.00223513634333
601869.SH,2025-12-11,102.0,106.06,95.96,101.27,98.43,2.84,2.8853,331745.37,3387586.911,10.100000000000009,2.8852991973991493
601869.SH,2025-12-12,98.97,108.0,98.5,105.72,101.27,4.45,4.3942,274147.85,2843963.628,9.5,4.394193739508245
601869.SH,2025-12-15,101.39,101.4,95.15,95.15,105.72,-10.57,-9.9981,208288.59,2009841.386,6.25,-9.998108210366997
601869.SH,2025-12-16,94.32,94.82,88.31,89.3,95.15,-5.85,-6.1482,203781.4,1848441.344,6.509999999999991,-6.1481870730425765
601869.SH,2025-12-17,93.0,98.23,93.0,98.23,89.3,8.93,10.0,237789.84,2300456.884,5.230000000000004,10.000000000000009
601869.SH,2025-12-18,102.0,108.05,102.0,108.05,98.23,9.82,9.9969,292925.31,3139669.428,6.049999999999997,9.996945943194536
601869.SH,2025-12-19,110.0,118.78,105.0,115.5,108.05,7.45,6.895,375167.8,4262515.508,13.780000000000001,6.894956038870892
601869.SH,2025-12-22,117.8,127.05,117.8,127.05,115.5,11.55,10.0,108060.91,1331941.101,9.25,9.999999999999986
601869.SH,2025-12-23,124.95,128.05,122.0,126.07,127.05,-0.98,-0.7713,267268.96,3346172.489,6.050000000000011,-0.7713498622589521
601869.SH,2025-12-24,125.0,131.5,123.55,130.5,126.07,4.43,3.5139,225136.28,2895742.744,7.950000000000003,3.5139208376298914
601869.SH,2025-12-25,128.99,129.99,122.37,125.0,130.5,-5.5,-4.2146,202679.98,2529801.643,7.6200000000000045,-4.214559386973182
601869.SH,2025-12-26,124.0,124.5,119.47,121.86,125.0,-3.14,-2.512,160494.2,1953629.347,5.030000000000001,-2.512000000000003
601869.SH,2025-12-29,119.99,123.0,119.0,120.75,121.86,-1.11,-0.9109,112829.91,1358176.778,4.0,-0.9108813392417536
601869.SH,2025-12-30,119.02,124.0,119.01,119.3,120.75,-1.45,-1.2008,128937.58,1564255.688,4.989999999999995,-1.200828157349898
